School Year,School Number,School Name,Principal,Phone,Associate Superintendent,Cluster,Attendance Rate,Drop out rate,Mobility Rate (Entrants + Withdrawals),Grade 12 Documented Decision - College,Grade 12 Documented Decision - Employment,Grade 12 Documented Decision - Military,Grade 12 Documented Decision - College - Employment,Graduation Rate,Students Meeting University System of Maryland Requirements,Location 1
2014,420,Bannockburn ES,Mr. Daniel Walder,(301) 320-6555,Dr. Donna S. Hollingshead,Walt Whitman,95,,6.2,,,,,,,"6520 Dalroy Lane
Bethesda, MD 20817
(38.97416872400004, -77.13701541499995)"
2014,796,Northwood HS,Mrs. Mildred L. Charley-Greene,(301) 649-8088,Dr. Christopher S. Garran,Downcounty Consortium,92.9,13.1,16.4,92.7,5,5,60.7,81.6,71.5,"919 University Boulevard West
Silver Spring, MD 20901
(39.03372152500003, -77.02374799299997)"
2014,747,Dr. Charles R. Drew ES,Mrs. Wanda L. Means Harris,(301) 989-6030,Dr. Myra J. Smith,Northeast Consortium,95,,14.8,,,,,,,"1200 Swingingdale Drive Silver Spring
MD 20905
(39.091342197000074, -76.98631780199997)"
2014,805,Kemp Mill ES,Mr. Floyd D. Starnes,(301) 649-8046,Ms. Bronda L. Mills,Downcounty Consortium,94.9,,20.5,,,,,,,"411 Sisson Street Silver Spring
MD 20902
(39.04301682000005, -77.01710813299997)"
2014,239,Alternative Programs,Dr. Ira K. Thomas,(301) 279-4920,Dr. Christopher S. Garran,Office of School Support and Improvement,75.4,74,95,83.3,10.3,8.3,83.3,12,5,"14501 Avery Road
Rockville, MD 20853
(39.09440718500008, -77.12356218099995)"
2014,704,Woodfield ES,Mrs. Gayle J. Starr,(301) 253-7085,Dr. LaVerne G. Kimball,Damascus,95,,7.9,,,,,,,"24200 Woodfield Road
Gaithersburg, MD 20882
(39.253529238000056, -77.19771266799995)"
2014,304,Broad Acres ES,Dr. Peter H. Bray,(301) 431-7616,Dr. Myra J. Smith,Northeast Consortium,95,,23.2,,,,,,,"710 Beacon Road Silver Spring
MD 20903
(39.007947827000066, -76.98435937699998)"
2014,818,Col. E. Brooke Lee MS,"Mrs. Kimberly N. Hayden Williams, Acting",(301) 649-8100,Dr. Darryl L. Williams,Downcounty Consortium,94.7,,13,,,,,,,"11800 Monticello Avenue Silver Spring
MD 20902
(39.04933215500006, -77.02974048499993)"
2014,705,John T. Baker MS,Mrs. Louise J. Worthington,(301) 253-7010,Dr. Darryl L. Williams,Damascus,95,,5,,,,,,,"25400 Oak Drive
Damascus, MD 20872
(39.27296131800006, -77.21861390799995)"
2014,523,Spark M. Matsunaga ES,Mrs. Judy K. Brubaker,(301) 601-4350,Dr. LaVerne G. Kimball,Northwest,95,,6.3,,,,,,,"13902 Bromfield Road
Germantown, Maryland 20874
(39.151045303000046, -77.29454482799997)"
2014,521,Shady Grove MS,Mr. Edward K. Owusu,(301) 548-7540,Dr. Darryl L. Williams,Col. Zadok Magruder,95,,12.3,,,,,,,"8100 Midcounty Highway
Gaithersburg, MD 20877
(39.14411431800005, -77.16269827999997)"
2014,428,Thomas W. Pyle MS,Mr. Christopher B. Nardi,(301) 320-6540,Dr. Darryl L. Williams,Walt Whitman,95,,5.3,,,,,,,"6311 Wilson Lane
Bethesda, MD 20817
(38.98779177000006, -77.12946302999995)"
2014,808,Cresthaven ES,Ms. Sherri A. Gorden,(301) 431-7622,Dr. Myra J. Smith,Northeast Consortium,94.8,,19.8,,,,,,,"1234 Cresthaven Drive Silver Spring
MD 20903
(39.02738125600007, -76.98682320199998)"
2014,772,Viers Mill ES,Mr. Matthew A. Devan,(301) 929-2165,Ms. Bronda L. Mills,Downcounty Consortium,95,,9.8,,,,,,,"11711 Joseph Mill Road Silver Spring
MD 20906
(39.047842324000044, -77.08568898199997)"
2014,425,Ashburton ES,Mrs. Charlene E. Garran,(301) 571-6959,Dr. Donna S. Hollingshead,Walter Johnson,95,,11.2,,,,,,,"6314 Lone Oak Drive
Bethesda, MD 20817
(39.02000059100004, -77.12821113899997)"
2014,302,Burtonsville ES,Ms. Kimberly L. Kimber,(301) 989-5654,Dr. Myra J. Smith,Northeast Consortium,95,,11.8,,,,,,,"15516 Old Columbia Pike
Burtonsville, MD 20866
(39.109794848000035, -76.93478834199993)"
2014,795,Rock View ES,Ms. Kristine A. Alexander,(301) 929-2002,Ms. Bronda L. Mills,Downcounty Consortium,95,,11.4,,,,,,,"3901 Denfeld Avenue
Kensington, MD 20895
(39.03873814600007, -77.07689015799997)"
2014,209,Lakewood ES,Ms. Robin L. Malcotti,(301) 279-8465,Dr. Donna S. Hollingshead,Thomas S. Wootton,95,,8.7,,,,,,,"2534 Lindley Terrace
Rockville, MD 20850
(39.08592778000008, -77.19065822999994)"
2014,106,Fox Chapel ES,Ms. Diana L. Zabetakis,(301) 353-8055,Dr. LaVerne G. Kimball,Clarksburg,95,,15.9,,,,,,,"19315 Archdale Road
Germantown, MD 20876
(39.17228273400008, -77.24302359599994)"
2014,207,Beall ES,Mr. Elliot M. Alter,(301) 279-8460,Dr. Donna S. Hollingshead,Richard Montgomery,95,,10,,,,,,,"451 Beall Avenue
Rockville, MD 20850
(39.08727101300008, -77.16188957799994)"
2014,321,James Hubert Blake HS,Mr. Christopher S. Berry,(301) 879-1300,Dr. Christopher S. Garran,Northeast Consortium,95,6.6,11.9,94.7,5,5,64,88.6,80.3,"300 Norwood Road Silver Spring
MD 20905
(39.11409019800004, -77.01473312799999)"
2014,227,Ritchie Park ES,Ms. M. Catherine Long,(301) 279-8475,Dr. Donna S. Hollingshead,Richard Montgomery,95,,12.9,,,,,,,"1514 Dunster Road
Rockville, MD 20854
(39.06231844100006, -77.17386158599999)"
2014,232,Tilden MS,Mrs. Irina LaGrange,(301) 230-5930,Dr. Darryl L. Williams,Walter Johnson,95,,12.3,,,,,,,"11211 Old Georgetown Road
Rockville, MD 20852
(39.03846736200006, -77.12280088199998)"
2014,230,Rockville HS,Ms. Billie-Jean Bensen,(301) 517-8105,Dr. Christopher S. Garran,Rockville,95,6.5,9.9,92.9,5,5,55.7,85.7,79.4,"2100 Baltimore Road
Rockville, MD 20851
(39.08650089400004, -77.11670248399997)"
2014,108,Lake Seneca ES,Ms. Teri D. Johnson,(301) 353-0929,Dr. LaVerne G. Kimball,Seneca Valley,95,,25.6,,,,,,,"13600 Wanegarden Drive
Germantown, MD 20874
(39.18569952200005, -77.28296610299998)"
2014,569,Strawberry Knoll ES,Mr. Egon (Frank) Kaplan,(301) 840-7112,Dr. Myra J. Smith,Gaithersburg,95,,14.9,,,,,,,"18820 Strawberry Knoll Road
Gaithersburg, MD 20879
(39.16509737000007, -77.18194829999999)"
2014,965,RICA,Mrs. Michelle E. Schultze,(301) 251-6900,Dr. Christopher S. Garran,Thomas S. Wootton,86.6,17.7,86,75.2,20.2,5,75.2,35.3,27.3,"15000 Broschart Road
Rockville, MD 20850
(39.10185691800007, -77.20027979899999)"
2014,238,Cold Spring ES,Mr. Martin J. Barnett,(301) 279-8480,Dr. Donna S. Hollingshead,Thomas S. Wootton,95,,5,,,,,,,"9201 Falls Chapel Way
Potomac, MD 20854
(39.05931222700008, -77.18744708199995)"
2014,401,Bethesda ES,Ms. Lisa S. Seymour,(301) 657-4979,Dr. Donna S. Hollingshead,"B-CC, Walt Whitman",95,,16.3,,,,,,,"7600 Arlington Road
Bethesda, MD 20814
(38.98627014600004, -77.09873626899997)"
2014,315,Paint Branch HS,Dr. Myriam A. Rogers,(301) 388-9900,Dr. Christopher S. Garran,Northeast Consortium,95,8.1,11.5,93,5,5,74.1,87.5,71.7,"14121 Old Columbia Pike
Burtonsville, MD 20866
(39.08797795400005, -76.94909413699997)"
2014,652,Monocacy ES,Ms. Cynthia R. Duranko,(301) 972-7990,Dr. LaVerne G. Kimball,Poolesville,94.3,,5,,,,,,,"18801 Barnesville Road
Dickerson, MD 20842
(39.22384591600007, -77.39381455499995)"
2014,702,Damascus ES,Mr. Sean P. McGee,(301) 253-7080,Dr. LaVerne G. Kimball,Damascus,95,,8.9,,,,,,,"10201 Bethesda Church Road
Damascus, MD 20872
(39.284987683000054, -77.21173593699996)"
2014,570,Diamond ES,Mrs. Carol A. Lange,(301) 840-7177,Dr. LaVerne G. Kimball,"Northwest, Q.Orchard",95,,15.9,,,,,,,"4 Marquis Drive
Gaithersburg, MD 20878
(39.13487762700004, -77.23841932699997)"
2014,507,William H. Farquhar MS,Mrs. Diane D. Morris,(301) 924-3100,Dr. Darryl L. Williams,"NE Consort.,Sherwood",95,,5,,,,,,,"16915 Batchellors Forest Road
Olney, MD 20832
(39.13535236700005, -77.04558381299995)"
2014,505,Lucy V. Barnsley ES,Mr. Andrew J. Winter,(301) 460-2121,Dr. Donna S. Hollingshead,Rockville,95,,9.7,,,,,,,"14516 Nadine Drive
Rockville, MD 20853
(39.09461166800003, -77.10291041199997)"
2014,322,Community Montessori Charter,Mrs. Karen E. Caroscio,(301) 929-2505,Dr. LaVerne G. Kimball,N/A,92,,,,,,,,,"3015 Upton Drive
Kensington, MD 20895
(39.04014239000003, -77.06036326499998)"
2014,522,Lakelands Park MS,Mrs. Deborah R. Higdon,(301) 670-1400,Dr. Darryl L. Williams,"Northwest, Quince Orchard",95,,10.1,,,,,,,"1200 Main Street
Gaithersburg, MD 20878
(39.11622746900008, -77.23237102599995)"
2014,776,Montgomery Knolls ES,Mr. Bertram B. Generlette,(301) 431-7667,Ms. Bronda L. Mills,Downcounty Consortium,94.7,,16.8,,,,,,,"807 Daleview Drive Silver Spring
MD 20901
(39.00596494200005, -76.99489732599994)"
2014,786,Georgian Forest ES,"Mrs. Kimberly D. Rogers, Acting",(301) 460-2170,Ms. Bronda L. Mills,Downcounty Consortium,94.4,,33.7,,,,,,,"3100 Regina Drive Silver Spring
MD 20906
(39.07570334600007, -77.06229305199997)"
2014,310,Cannon Road ES,Mr. Norman L. Coleman,(301) 989-5662,Dr. Myra J. Smith,Northeast Consortium,95,,11.9,,,,,,,"901 Cannon Road
Silver Spring, MD 20904
(39.069493700000066, -76.99411368899996)"
2014,779,Sargent Shriver ES,Mrs. Tamisha L. Sampson,(301) 929-4426,Ms. Bronda L. Mills,"Downcounty Consortium, Wheaton",95,,15,,,,,,,"12518 Greenly Drive Silver Spring
MD 20906
(39.06020861300004, -77.07977431899997)"
2014,559,Brown Station ES,Dr. Carl L. Baskerville,(301) 840-7172,Dr. LaVerne G. Kimball,Quince Orchard,94.9,,22.2,,,,,,,"851 Quince Orchard Boulevard
Gaithersburg, MD 20878
(39.13776294000007, -77.23040175099999)"
2014,247,John Poole MS,Ms. Charlotte W. Boucher,(301) 972-7979,Dr. Darryl L. Williams,Poolesville,94.4,,5,,,,,,,"17014 Tom Fox Avenue
Poolesville, MD 20837
(39.12676922800006, -77.40962048699998)"
2014,755,Takoma Park MS,Miss Alicia M. Deeny,(301) 650-6444,Dr. Darryl L. Williams,Downcounty Consortium,95,,7.6,,,,,,,"7611 Piney Branch Road Silver Spring
MD 20910
(38.98539038400003, -77.01424681699996)"
2014,916,Rock Terrace School,"Mrs. Katherine W. Lertora, Acting",(301) 279-4940,Dr. Christopher S. Garran,Walter Johnson,93.4,5,8.1,,,,,,,"390 Martins Lane
Rockville, MD 20850
(39.09261653900006, -77.15922069399994)"
2014,757,Montgomery Blair HS,Mrs. Renay C. Johnson,(301) 649-2800,Dr. Christopher S. Garran,Downcounty Consortium,94.7,9.4,9.9,94,5,5,60.7,85.4,81.8,"51 University Boulevard
East Silver Spring, MD 20901
(39.02066106500007, -77.01315518199993)"
2014,427,Walt Whitman HS,Dr. Alan S. Goodwin,(301) 320-6600,Dr. Christopher S. Garran,Walt Whitman,95,5,8.7,95,5,5,40.8,95,86.1,"7100 Whittier Boulevard
Bethesda, MD 20817
(38.981377929000075, -77.12573759999998)"
2014,109,Waters Landing ES,Mrs. Tina W. Shrewsbury,(301) 353-0915,Dr. LaVerne G. Kimball,Seneca Valley,95,,19.9,,,,,,,"13100 Waters Landing Drive
Germantown, MD 20874
(39.18954292300003, -77.26798257699994)"
2014,506,Flower Valley ES,Mrs. Gay E. Melnick,(301) 924-3135,Dr. Donna S. Hollingshead,Rockville,95,,8,,,,,,,"4615 Sunflower Drive
Rockville, MD 20853
(39.10483764000003, -77.09329980299998)"
2014,510,Col. Zadok Magruder HS,Mr. Leroy C. Evans,(301) 840-4600,Dr. Christopher S. Garran,Col. Zadok Magruder,94,6.2,11.8,90.5,5,5,53,88.6,73.1,"5939 Muncaster Mill Road
Rockville, MD 20855
(39.130182078000075, -77.11911782999994)"
2014,504,Westover ES,Dr. Patricia A. Kelly,(301) 989-5676,Dr. Myra J. Smith,Northeast Consortium,95,,12.2,,,,,,,"401 Hawkesbury Lane Silver Spring
MD 20904
(39.07426529900005, -77.01745430999995)"
2014,566,Fields Road ES,Mrs. Kathryn S. Rupp,(301) 840-7131,Dr. LaVerne G. Kimball,Quince Orchard,95,,11.1,,,,,,,"One School Drive
Gaithersburg, MD 20878
(39.11827204100007, -77.21481782499995)"
2014,244,Thurgood Marshall ES,Mrs. Pamela S. Nazzaro,(301) 670-8282,Dr. LaVerne G. Kimball,Quince Orchard,95,,13.1,,,,,,,"12260 McDonald Chapel Drive
Gaithersburg, MD 20878
(39.12517697200008, -77.25913866199994)"
2014,561,Watkins Mill ES,Ms. Stephanie G. Spencer,(301) 840-7181,Dr. LaVerne G. Kimball,Watkins Mill,94.4,,22.8,,,,,,,"19001 Watkins Mill Road Montgomery Village
MD 20886
(39.16762328800007, -77.21178809899999)"
2014,602,Winston Churchill HS,Dr. Joan Benz,(301) 469-1200,Dr. Christopher S. Garran,Winston Churchill,95,5,5,95,5,5,48.6,95,94.5,"11300 Gainsborough Road
Potomac, MD 20854
(39.04386162700007, -77.17169802999996)"
2014,517,Sligo Creek ES,Mrs. Diantha R. Swift,(301) 562-2722,Ms. Bronda L. Mills,Downcounty Consortium,95,,11.3,,,,,,,"500 Schuyler Road Silver Spring
MD 20910
(39.00113439200004, -77.01604640299996)"
2014,235,Wayside ES,Mrs. Donna E. Michela,(301) 279-8484,Dr. Donna S. Hollingshead,Winston Churchill,95,,5,,,,,,,"10011 Glen Road
Potomac, MD 20854
(39.046707327000036, -77.20676614599995)"
2014,312,William Tyler Page ES,Ms. Raushann Austin,(301) 989-5672,Dr. Myra J. Smith,Northeast Consortium,95,,10.6,,,,,,,"13400 Tamarack Road Silver Spring
MD 20904
(39.07513527100008, -76.98307021999995)"
2014,234,Thomas S. Wootton HS,Dr. Michael J. Doran,(301) 279-8550,Dr. Christopher S. Garran,Thomas S. Wootton,95,5,5,95,5,5,37.3,95,90.2,"2100 Wootton Parkway
Rockville, MD 20850
(39.07526341300007, -77.18221671799995)"
2014,307,Roscoe R. Nix ES,Ms. Annette M. Ffolkes,(301) 422-5070,Dr. Myra J. Smith,Northeast Consortium,94.3,,26,,,,,,,"1100 Corliss Street Silver Spring
MD 20903
(39.01686790200006, -76.98866276699994)"
2014,51,Laytonsville ES,Mrs. Donna M. Sagona,(301) 840-7145,Dr. Myra J. Smith,"Damascus, Gaithersburg",95,,7,,,,,,,"21401 Laytonsville Road
Gaithersburg, MD 20882
(39.20726766100006, -77.14135376199994)"
2014,787,A. Mario Loiederman MS,Ms. Nicole A. Sosik,(301) 929-2282,Dr. Darryl L. Williams,"Downcounty Consortium, Wheaton",94,,12.5,,,,,,,"12701 Goodhill Road Silver Spring
MD 20906
(39.06359538700008, -77.07232071599998)"
2014,153,Poolesville ES,Mr. Douglas M. Robbins,(301) 972-7960,Dr. LaVerne G. Kimball,Poolesville,94.5,,10.6,,,,,,,"19565 Fisher Avenue
Poolesville, MD 20837
(39.14342755800004, -77.40809282499998)"
2014,512,Greenwood ES,Mrs. Cheryl A. Bunyan,(301) 924-3145,Dr. Myra J. Smith,Sherwood,95,,5,,,,,,,"3336 Gold Mine Road
Brookeville, MD 20833
(39.16637496800007, -77.06475137299998)"
2014,102,Germantown ES,Ms. Amy D. Bryant,(301) 353-8050,Dr. LaVerne G. Kimball,Northwest,95,,12.6,,,,,,,"19110 Liberty Mill Road
Germantown, MD 20874
(39.16894022900004, -77.27572560299996)"
2014,351,Darnestown ES,Mrs. Laura S. Colgary,(301) 840-7157,Dr. LaVerne G. Kimball,Northwest,95,,5.3,,,,,,,"15030 Turkey Foot Road
Gaithersburg, MD 20878
(39.10268287300005, -77.28425594599997)"
2014,220,Luxmanor ES,Mr. Ryan D. Forkert,(301) 230-5914,Dr. Donna S. Hollingshead,Walter Johnson,95,,9.5,,,,,,,"6201 Tilden Lane
Rockville, MD 20852
(39.04403749000005, -77.12748339599995)"
2014,303,Fairland ES,Mrs. Tillie C. Garfinkel,(301) 989-5658,Dr. Myra J. Smith,Northeast Consortium,95,,19.3,,,,,,,"14315 Fairdale Road Silver Spring
MD 20905
(39.091077090000056, -76.95730058999999)"
2014,820,Earle B. Wood MS,Dr. Traci L. Townsend,(301) 460-2150,Dr. Darryl L. Williams,Rockville,95,,9.4,,,,,,,"14615 Bauer Drive
Rockville, MD 20853
(39.09209031700004, -77.10875391499997)"
2014,417,Wood Acres ES,Mrs. Marita R. Sherburne,(301) 320-6502,Dr. Donna S. Hollingshead,Walt Whitman,95,,5.6,,,,,,,"5800 Cromwell Drive
Bethesda, MD 20816
(38.967591621000054, -77.11779202599996)"
2014,514,Judith A. Resnik ES,Mrs. LaTricia D. Thomas,(301) 670-8200,Dr. Myra J. Smith,Col. Zadok Magruder,95,,15,,,,,,,"7301 Hadley Farms Drive
Gaithersburg, MD 20879
(39.180168914000035, -77.15168291199996)"
2014,811,White Oak MS,Ms. Virginia A. de los Santos,(301) 989-5780,Dr. Darryl L. Williams,Northeast Consortium,95,,14.6,,,,,,,"12201 New Hampshire Avenue Silver Spring
MD 20904
(39.055348501000026, -76.99541860499994)"
2014,777,Weller Road ES,Ms. Michaele O. Simmons,(301) 929-2010,Ms. Bronda L. Mills,Downcounty Consortium,95,,17.8,,,,,,,"3301 Weller Road Silver Spring
MD 20906
(39.06447781700007, -77.06798647599999)"
2014,503,Sherwood HS,Mr. William M. Gregory,(301) 924-3200,Dr. Christopher S. Garran,Sherwood,95,5,9.2,95,5,5,54.2,92.9,85.2,"300 Olney-Sandy Spring Road Sandy Spring
MD 20860
(39.14908888200006, -77.01757946999999)"
2014,248,Forest Oak MS,Mr. Arthur Williams,(301) 670-8242,Dr. Darryl L. Williams,Gaithersburg,95,,14.9,,,,,,,"651 Saybrooke Oaks Boulevard
Gaithersburg, MD 20877
(39.15235347200007, -77.18379322799996)"
2014,552,Washington Grove ES,Mrs. Susan B. Barranger,(301) 840-7120,Dr. Myra J. Smith,Gaithersburg,95,,17.1,,,,,,,"8712 Oakmont Street
Gaithersburg, MD 20877
(39.133039051000026, -77.17966901799997)"
2014,501,Sherwood ES,Mrs. Dina E. Brewer,(301) 924-3195,Dr. Myra J. Smith,"NE Consort., Sherwood",95,,7.7,,,,,,,"1401 Olney-Sandy Spring Road Sandy Spring
MD 20860
(39.14863718600003, -77.03284142399997)"
2014,226,Beverly Farms ES,Dr. Beth L. Brown,(301) 469-1050,Dr. Donna S. Hollingshead,Winston Churchill,95,,5,,,,,,,"8501 Postoak Road
Potomac, MD 20854
(39.05224595300007, -77.17497244299994)"
2014,201,Richard Montgomery HS,Dr. Nelson McLeod,(301) 610-8000,Dr. Christopher S. Garran,Richard Montgomery,95,5.9,11.5,95,5,5,59.9,89.3,76.3,"250 Richard Montgomery Drive
Rockville, MD 20852
(39.07815079300008, -77.14560648399998)"
2014,792,Newport Mill MS,Ms. Panagiota (Penny) Tsonis,(301) 929-2244,Dr. Darryl L. Williams,Downcounty Consortium,95,,8.5,,,,,,,"11311 Newport Mill Road
Kensington, Maryland 20895
(39.04249839500005, -77.06899995699996)"
2014,603,Seven Locks ES,Mr. Carl R. Bencal,(301) 469-1038,Dr. Donna S. Hollingshead,Winston Churchill,95,,10.6,,,,,,,"9500 Seven Locks Road
Bethesda, MD 20817
(39.01209225900004, -77.16015820699994)"
2014,553,Gaithersburg ES,Mrs. Stephanie D. Brant,(301) 840-7136,Dr. Myra J. Smith,Gaithersburg,94,,21.4,,,,,,,"35 North Summit Avenue
Gaithersburg, MD 20877
(39.14391036400008, -77.19288806399999)"
2014,237,Robert Frost MS,Dr. Joey N. Jones,(301) 279-3949,Dr. Darryl L. Williams,Thomas S. Wootton,95,,5.1,,,,,,,"9201 Scott Drive
Rockville, MD 20850
(39.07438392300003, -77.18837323299994)"
2014,508,Candlewood ES,Dr. Linda B. Sheppard,(301) 840-7167,Dr. Myra J. Smith,Col. Zadok Magruder,95,,9.4,,,,,,,"18100 Washington Grove Lane
Gaithersburg, MD 20879
(39.15351846500005, -77.16434091499997)"
2014,305,Jackson Road ES,Mrs. Sally A. Macias,(301) 989-5650,Dr. Myra J. Smith,Northeast Consortium,95,,18,,,,,,,"900 Jackson Road Silver Spring
MD 20904
(39.055848378000064, -76.99222164299994)"
2014,308,Cloverly ES,Ms. Melissa A. Brunson,(301) 989-5770,Dr. Myra J. Smith,Northeast Consortium,95,,8.5,,,,,,,"800 Briggs Chaney Road Silver Spring
MD 20905
(39.10693709700007, -76.99421969899998)"
2014,513,Belmont ES,Mr. Evan J. Pinkowitz,(301) 924-3140,Dr. Myra J. Smith,Sherwood,95,,5,,,,,,,"19528 Olney Mill Road
Olney, MD 20832
(39.17793296200006, -77.06657590499998)"
2014,782,Wheaton HS,Mr. Bennie W. Green,(301) 929-2050,Dr. Christopher S. Garran,Downcounty Consortium,94,12.6,14.3,89.2,5,5,68.5,76.1,65.4,"12601 Dalewood Drive Silver Spring
MD 20906
(39.06115426000008, -77.06829670699994)"
2014,815,John F. Kennedy HS,"Mr. Joe L. Rubens, Jr., Acting",(301) 929-2100,Dr. Christopher S. Garran,Downcounty Consortium,93.4,8.8,13.7,90.2,5,5,70.9,81.5,66.8,"1901 Randolph Road Silver Spring
MD 20902
(39.06427463000006, -77.03937254899995)"
2014,807,Brookhaven ES,Mr. Shahid A. Muhammad,(301) 460-2140,Ms. Bronda L. Mills,Downcounty Consortium,95,,15.5,,,,,,,"4610 Renn Street
Rockville, MD 20853
(39.082749712000066, -77.09112749699995)"
